title,category
Bệnh viện Đa khoa Hồng Hà,Bệnh viện đa khoa
Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,Bệnh viện đa khoa
Bệnh viện Bạch Mai,Bệnh viện
Bệnh viện Việt Đức,Bệnh viện
Bệnh Viện Việt Pháp Hà Nội,Bệnh viện
Bệnh Viện Đa Khoa Hồng Phát,Bệnh viện
Bệnh viện Hữu Nghị Việt Nam - Cuba,Bệnh viện đa khoa
Bệnh viện Hữu Nghị Việt Xô,Bệnh viện đa khoa
Bệnh viện Y Học Cổ Truyền Trung Ương,Bệnh viện
Bệnh viện Đông Đô,Bệnh viện
Bệnh Viện Đa Khoa Hòe Nhai,Bệnh viện đa khoa
Bệnh Viện Đa Khoa Hồng Ngọc,Bệnh viện đa khoa
Bệnh viện Tim Hà Nội,Bệnh viện tim
Khoa Khám Bệnh - Bệnh Viện Phụ Sản Trung Ương,Bệnh viện
Bệnh viện Mắt Trung ương,Bệnh viện
Bệnh viện Quốc tế Thăng Long Lạc Việt,Bệnh viện đa khoa
Bệnh viện Đa khoa Quốc tế Vinmec Times City,Bệnh viện đa khoa
Bệnh viện Quân Y 354,Bệnh viện quân đội
Bệnh viện Đa Khoa Xanh Pôn,Bệnh viện đa khoa
Bệnh Viện Lão Khoa Trung Ương,Bệnh viện
Bệnh viện Đa khoa Tràng An,Bệnh viện đa khoa
Bệnh viện Đa khoa Hà Thành,Bệnh viện tư nhân
Bệnh Viện Tai Mũi Họng Trung Ương,Bệnh viện
Bệnh Viện Đức Phúc,Bệnh viện
TCI Hospital - Bệnh Viện Đa Khoa Quốc Tế Thu Cúc,Bệnh viện đa khoa
Bệnh viện Da liễu Hà Nội,Bệnh viện chuyên khoa
Bệnh viện Đại học Y Hà Nội,Bệnh viện đại học
Bệnh viện Đa khoa Bảo Sơn 2,Bệnh viện
Bệnh Viện Đa Khoa An Việt,Bệnh viện
Bệnh viện Trung ương Quân đội 108,Bệnh viện quân đội
Bệnh viện Thanh Nhàn,Bệnh viện đa khoa
Bệnh viện Mắt Kỹ Thuật Cao Hà Nội,Bệnh viện
BỆNH VIỆN MẮT QUỐC TẾ CUNG HỒNG SƠN,Bệnh viện chuyên khoa
Bệnh viện Đa khoa MEDLATEC,Bệnh viện đa khoa
Trung Tâm Cấp Cứu Bệnh viện Đa khoa Xanh Pôn,Bệnh viện đa khoa
Bệnh viện Da Liễu Trung Ương,Bệnh viện
Bệnh Viện Đa Khoa Nông Nghiệp 1,Bệnh viện đa khoa
Bệnh viện Nhi Trung ương,Bệnh viện nhi
Bệnh viện Bưu Điện,Bệnh viện
Bệnh viện Mắt Quốc Tế DND,Bệnh viện
Viện Sức khỏe Tâm thần Quốc gia,Bệnh viện tâm thần
Bệnh Viện Đa Khoa Quốc Tế Bắc Hà,Bệnh viện đa khoa
Bệnh viện Phổi Trung ương,Bệnh viện chuyên khoa
Phòng Khám Đa Khoa Vietlife 14 Trần Bình Trọng,Bệnh viện
Bệnh Viện Mắt Sài Gòn Hà Nội,Bệnh viện
Bệnh Viện Mắt Hà Nội,Bệnh viện chuyên khoa
Bệnh viện Việt Đức,Bệnh viện
Bệnh viện E,Bệnh viện đa khoa
Bệnh Viện Mắt Hà Nội 2,Bệnh viện
Bệnh viện Đa khoa Hòe Nhai 2,Bệnh viện đa khoa
Trung tâm khám bệnh trong ngày - tòa K1 -Bệnh viện Bạch mai,Bệnh viện
Phòng Khám Đa Khoa Tomec,Bệnh viện
Bệnh Viện Phụ Sản Hà Nội (Cơ Sở 2),Bệnh viện
Phòng Khám Đa khoa kỹ thuật cao Bệnh viện Hà Thành,Phòng khám
Bệnh Viện Giao Thông Vận Tải,Bệnh viện
Bệnh Viện Phụ Sản Trung Ương,Bệnh viện phụ sản
Bệnh viện K cơ sở 1 (Quán sứ),Bệnh viện
Bệnh viện Phụ sản An Thịnh,Nhà hộ sinh
Đơn vị Khám và Điều trị 24h của Khoa Điều trị Tự nguyện - Bệnh viện Nhi Trung Ương,Bệnh viện nhi
Bệnh Viện Răng Hàm Mặt Trung Ương Hà Nội,Bệnh viện chuyên khoa
Phòng Khám Mắt BV Đại Học Y,Bệnh viện
Trung tâm Tiêu hóa - Bệnh viện Ung bướu Hưng Việt,Bệnh viện
Viện Tim mạch - Bệnh Viện Bạch Mai,Bệnh viện
Bệnh Viện Tai Mũi Họng Trung Ương,Bệnh viện
Cổng 4 Bệnh Viện Bạch Mai,Bệnh viện
Bệnh Viện phụ sản Hà Nội,Bệnh viện chuyên khoa
Phòng khám bác sĩ gia đình,Bệnh viện
Bệnh viện Phổi Hà Nội,Bệnh viện chuyên khoa
Bệnh viện Ung bướu Hà Nội,Bệnh viện chuyên khoa
Trung Tâm Y Tế Quận Hoàn Kiếm,Trung tâm y tế
Bệnh Viện Đa Khoa Tâm Anh,Bệnh viện đa khoa
Khoa khám bệnh - Bệnh viện Bạch Mai,Bệnh viện
Tòa nhà trung tâm 21 tầng Bệnh viện TW Quân Đội 108,Bệnh viện quân đội
Khoa Hồi sức tích cực Bệnh viện Phổi Trung ương,Bệnh viện
Bệnh Viện Châm Cứu Trung Ương,Bệnh viện
Bệnh Viện Phụ Sản Trung Ương Phòng Khám,Bệnh viện
Viện Thẩm Mỹ KamLy - KamLy Medical Aesthetics,Bệnh viện chuyên khoa
Bệnh viện Chuyên Khoa Mắt Hitec,Bệnh viện
Bệnh Viện Nội Tiết Trung Ương,Bệnh viện
Bệnh Viện Da Liễu Trung Uơng,Bệnh viện chuyên khoa
Bệnh viện phổi TW (cổng 2),Bệnh viện chuyên khoa
Trung Tâm Nam Học - Bệnh Viện Hữu Nghị Việt Đức,Bệnh viện
Trung tâm mổ cận thị,Bệnh viện
Phòng khám Đa khoa Bệnh viện Hà Thành,Bệnh viện đa khoa
Khoa Truyền nhiễm - BVĐK Đống Đa,Bệnh viện
Bênh viện ung biếu,Bệnh viện
Bệnh Viện Dệt May,Bệnh viện
Phòng khám trĩ PGS TS Thầy thuốc nhân dân Đỗ Ngọc Tấn,Bệnh viện
Khoa Điều Trị Theo Yêu Cầu 1C- Bệnh Viện Hữu Nghị Việt Đức,Khoa của bệnh viện
Phòng khám BHYT B Bệnh viện mắt TƯ,Bệnh viện chuyên khoa
Bệnh viện Thận Hà Nội,Bệnh viện
Cổng 3 Bệnh Viện Bạch Mai,Bệnh viện
Bệnh viện Nội tiết Trung ương cơ sở Thái Thịnh (National hospital of Endocrinology),Trung tâm y tế
vườn hoa Bệnh viện Sanhpon,Bệnh viện
Cổng 2 Bệnh Viện Bạch Mai,Bệnh viện
Trung tâm cấp cứu A9 - Bệnh viện Bạch Mai,Dịch vụ y tế địa phương
Cổng cấp cứu Bệnh Viện 108,Bệnh viện
Bệnh viện Đa khoa Đức Giang,Bệnh viện đa khoa
Y Học Quốc Tế,Trung tâm y tế
Phòng Khám Bệnh Tư Nhân Thạc Sỹ Lương Quốc Ninh,Bệnh viện
