title,category
SHANSE - Trà sữa Shan Tuyết,Trà trân châu
Trà Sữa Đô Đô Bạch Mai,Quán cà phê
Trà sữa Đô Đô Ô Chợ Dừa,Trà trân châu
Trà Sữa Bọt Biếc - Ô Chợ Dừa,Quán cà phê
Trà sữa Bông Biêng - Phố Huế,Trà trân châu
Trà ''say'' TAOTEAER - Trà sữa Trung Hoa thế hệ mới,Quán cà phê
Trà Sữa ToCoToCo 19 Khâm Thiên,Trà trân châu
CHIN CHIN - Trà Sữa Đậm Vị & Trà Hoa Quả Tươi- Hồ Linh Quang,Nhà phân phối đồ uống
Trà Sữa ToCoToCo 459 Bạch Mai,Trà trân châu
Feeling tea Khâm Thiên,Quán cà phê
Trà Sữa ToCoToCo Ô Chợ Dừa,Trà trân châu
Trà Sữa 172,Quán cà phê
"Cafe, Trà Sữa Thu Xuân",Quán cà phê
Trà Sữa Viên Viên - Khâm Thiên,Trà trân châu
Trà sữa khổng lồ Kome,Cửa hàng trà
Trà Sữa ToCoToCo 10 Nguyễn Khuyến,Trà trân châu
Trà Sữa ToCoToCo 59 Tôn Đức Thắng,Trà trân châu
"Puxi Coffee - Cafe, Trà hoa quả & Trà sữa",Quán cà phê
Trà Sữa ToCoToCo 02 Nguyễn Văn Tố,Quán cà phê
Trà Sữa ToCoToCo 42F Lý Thường Kiệt,Trà trân châu
Trà Sữa Tea Taste,Quán cà phê
Trà Sữa LUFA,Trà trân châu
Trà Sữa Đồng Giá 25K Đô Đô Giảng Võ,Trà trân châu
Cha Hong Pao Núi Trúc - Trà Sữa Đặc Sản Phúc Kiến,Quán trà Trung Quốc
Trà sữa Mongo Khâm Thiên,Trà trân châu
Trà sữa Dingtea 24 Hàng Than,Trà trân châu
Trà Sữa Đô Đô Thanh Niên,Trà trân châu
Trà sữa Yi He Tang - 74 Đội Cấn,Trà trân châu
Kem & Trà sữa Bingxue Văn Miếu,Cửa hàng kem
Trà sữa LeeTee Láng Hạ,Quán cà phê
Trà sữa Đô Đô Hàng Gà,Trà trân châu
Chin Chin - Trà Sữa Đậm Vị & Trà Hoa Quả Tươi - Phan Bội Châu,Quán cà phê
Trà Sữa ToCoToCo,Trà trân châu
Trà Sữa ToCoToCo 72 Thành Công,Trà trân châu
Trà Sữa ToCoToCo 95 Đội Cấn,Quán cà phê
Quán Trà Sữa,Quán cà phê
Hefkcha trà sữa Đài Loan,Quán cà phê
Trà Sữa Trân Châu,Quán cà phê
Trà Sữa MiuTea,Trà trân châu
Trà sữa ShunCha 90CB,Trà trân châu
"Trà sữa trân châu, Matcha, Trà trái cây - Serim Teapresso - Trần Huy Liệu (Ba Đình)",Quán cà phê
Feeling Tea Thanh Niên,Trà trân châu
Trà sữa Yi He Tang - 119 Núi Trúc,Trà trân châu
"Trà Sữa Winggo - 38 Thụy Khuê - Trà Sữa Trân Châu, Trà Hoa Quả & Matcha",Quán cà phê
Trà Sữa ToCoToCo 348 Thụy Khuê,Trà trân châu
Dallas tea - Trà sữa đậm vị,Trà trân châu
Trà Sữa MiuTea,Trà trân châu
Trà Sữa Hong Kong,Cửa hàng
Trà sữa trân châu Bách Khang,Quán cà phê
Trà sữa AZang,Quán cà phê
Quán Trà Sữa Ích Hoà Đường - Taiwan Tea,Nhà hàng
Trà sữa Mayu Cheese,Quán cà phê
Trà Sữa ToCoToCo 52 Văn Cao,Trà trân châu
Trà Sữa ToCoToCo Đê La Thành,Trà trân châu
Trà Sữa ToCoToCo 331 Kim Mã,Trà trân châu
Trà Sữa MiuTea,Trà trân châu
ChinChin - Trà sữa đậm vị - Trà hoa quả tươi,Quán cà phê
Trà Sữa ToCoToCo Núi Trúc,Trà trân châu
Trà Sữa Ulaghi,Quán cà phê
Quán Trà Sữa Trân Châu,Quán cà phê
Quán Trà Sữa Teen,Nhà hàng hoặc Quán cà phê
Quán Trà Sữa Dakasi,Phòng trà
Quán Trà Sữa Đài Loan,Trà trân châu
Trà Sữa ToCoToCo 18 Phan Kế Bính,Trà trân châu
Trà sữa Lé Nama Tôn Đức Thắng,Quán cà phê
Tiệm Trà Sữa Te Amo,Quán cà phê
Trà Sữa MiuTea,Trà trân châu
Quán Trà Sữa Chatime,Nhà hàng
Trà Sữa Montea,Quán cà phê
Dẻ kiosk - Trà sữa sáng tạo,Cửa hàng
Mlem Trà Sữa Store,Trà trân châu
Trà Sữa MiuTea,Trà trân châu
Trà sữa Winggo 30 Vĩnh Phúc,Nhà phân phối đồ uống
Mixue Ice Cream & Tea,Cửa hàng kem
Mixue Đại La,Cửa hàng kem
Mixue 2A Trần Đại Nghĩa,Trà trân châu
Mixue 31 Hàng Khay,Cửa hàng kem
MIXUE ĐH BÁCH KHOA - HÀ NỘI,Cửa hàng kem
Mixue215TrầnĐạiNghĩa,Cửa hàng kem
Mixue Minh Khai Gốc Đề,Cửa hàng kem
Mixue 174 Trương Định,Cửa hàng kem
MIXUE 54 VÕ THỊ SÁU,Cửa hàng kem
Mixue Hồ Hoàn Kiếm,Cửa hàng kem
Mixue Khâm Thiên,Cửa hàng kem
MIXUE- 11 THANH NIÊN,Cửa hàng kem
Mixue,Cửa hàng kem
Mixue Hàng Lược,Cửa hàng kem
Mixue 43 Hào Nam,Cửa hàng kem
Mixue 68 phố vọng,Cửa hàng kem
MIXUE 306 XÃ ĐÀN,Cửa hàng kem
Mixue lê thanh nghị,Cửa hàng kem
Mixue 65 Nguyễn Công Trứ,Cửa hàng kem
Mixue Hồ Đắc Di,Cửa hàng kem
Mixue Việt Nam,Nhà hàng
MIXUE Hồ Tây,Cửa hàng kem
Mixue Nguyên Hồng,Cửa hàng kem
Mixue Vincom Phạm Ngọc Thạch,Khu ăn uống
MIXUE 308 THÁI HÀ,Cửa hàng kem
Mixue Hàng Giấy,Cửa hàng kem
Mixue TT Khương Thượng,Cửa hàng kem
Mixue,Cửa hàng kem
Mixue Kim Mã trà sữa và kem,Cửa hàng kem
Kem Mixue,Cửa hàng kem
Mixue 295 Thuỵ Khuê,Cửa hàng kem
Mixue 198 Lạc Trung,Cửa hàng kem
Trà Sữa Mixue Trần Huy Liệu,Trà trân châu
Mixue 5A Hồ Đắc Di,Quán cà phê
Kem mixue,Cửa hàng kem
Mixue Hồ Đền Lừ,Cửa hàng kem
Mixue Tôn Thất Tùng,Cửa hàng kem
MIXUE 45 TRẦN NGUYÊN ĐÁN,Cửa hàng kem
Mixue Vũ Tông Phan,Cửa hàng kem
Mixue Trần Quang Diệu,Cửa hàng kem
Mixue Nguyễn Khuyến,Cửa hàng kem
Mixue Vincom Nguyễn Chí Thanh,Cửa hàng kem
Mixue 167 Tây Sơn,Cửa hàng kem
MIXUE TIME CITY - PARK 8,Cửa hàng kem
Mixue 60 Hoàng Văn Thái,Cửa hàng kem
Mixue T7 Times City,Cửa hàng kem
Mixue Đội Cấn,Cửa hàng kem
Mixue Nguyễn Ngọc Vũ,Cửa hàng kem
Mixue 156 Dương Văn Bé,Cửa hàng kem
Mixue 124 Vĩnh Tuy,Cửa hàng kem
Mixue Tân Mai,Quán cà phê
Mixue Yên Lãng,Cửa hàng kem
Trà sữa kem trà hoa quả,Cửa hàng kem
Mixue Thượng Đình,Cửa hàng kem
Mixue Hàm Tử Quan,Cửa hàng kem
Mixue Vincom Times City,Cửa hàng kem
MIXUE 20 Phan Kế Bính,Cửa hàng kem
Mixue Giáp Nhất,Cửa hàng kem
Mixue Royal City 2,Quán cà phê
Mixue Bạch Đằng,Cửa hàng kem
MIXUE NHÂN HOÀ,Cửa hàng kem
MIXUE KHƯƠNG TRUNG,Cửa hàng kem
MIXUE Trích Sài Hồ Tây,Cửa hàng kem
Mixue Trung Kính - Cầu Giấy,Cửa hàng kem
Mixue 3,Cửa hàng kem
MIXUE - Vincom Royal City,Cửa hàng kem
Mixue 221 Lĩnh Nam,Cửa hàng kem
Mixue,Cửa hàng kem
MIXUE,Cửa hàng kem
Mixue 215 Lạc Long Quân,Cửa hàng kem
Mixue Đại học Khoa học Xã hội và Nhân Văn,Cửa hàng kem
Mixue Vũ Trọng Phụng,Cửa hàng kem
Mixue - 107 Nguyễn Tuân,Cửa hàng kem
Mixue,Cửa hàng kem
Anh Độ Mixue,
MIXUE Định Công - 101 Định Công Hạ,Cửa hàng kem
Cafe Hoả Xa,Quán cà phê
Ta Cà Phê 4(Specialty Coffee),Quán cà phê
The Little Plan café - Kế Hoạch Nhỏ café,Quán cà phê
Tiệm cà phê Thương - Thuong Coffee,Quán cà phê
Cộng Cà Phê,Quán cà phê
Bàng Cà Phê,Quán cà phê
Mallard coffee Cà phê và âm nhạc,Quán cà phê
Diên An Cà Phê - Nguyễn Đình Thi,Quán cà phê
THAIYEN CAFE - CAFE YEN - Quán Thánh,Quán cà phê
Cafe Thái,Quán cà phê
Hanoi Egg Coffee,Quán cà phê
Old Friends Coffee,Quán cà phê
Annamoi - trà và cà phê thủ công,Quán cà phê
Gau Coffee & Bakery,Quán cà phê
Mộc Nguyên Cà Phê,Quán cà phê
Za Cà Phê - 18 Hoàng Diệu,Quán cà phê
Tiệm Cà Phê Hạnh Phúc,Quán cà phê
Nil Coffee,Quán cà phê
Couchsurfing Café (Nhà Lành),Quán cà phê
Coffee 24,Quán cà phê
Manzi Art Space and Cafe,Trung tâm nghệ thuật
Cà Phê 48,Quán cà phê
Cà phê ven hồ,Quán cà phê
ANCHOI 1945 Cà Phê,Quán cà phê
Thu’s Natural Coffee (thư cà phê mộc ),Quán cà phê
Cà phê D9 - Hoàng Ngọc Phách,Quán cà phê
Cộng Cà Phê,Quán cà phê
Cộng Cà Phê,Quán cà phê
Mỹ Lan Coffee - Eggs Coffee,Quán cà phê
Cà Phê Quất,Quán cà phê
Cà Phê Hương,Quán cà phê
Lang Thang Cà Phê - Đỗ Hành,Quán cà phê
An Nam Cà phê,Quán cà phê nghệ thuật
Cafe C1,Quán cà phê
Cà Phê Bùi,Quán cà phê
Xiu Coffee,Quán cà phê
Cà Phê cây đa - Sữa chua dẻo,Quán cà phê
Cộng Cà Phê,Quán cà phê
Coffee Infinity,Quán cà phê
Cà Phê Số 6,Quán cà phê
Cà phê Ông Triệu - Xưởng rang cà phê trong lòng phố cổ,Quán cà phê
Là Việt Coffee Láng Hạ,Quán cà phê
LÀ CÀ PHÊ . Trà và cà phê đặc sản,Quán cà phê
Quán Cà Phê Villa,Quán cà phê
The Booksmith - Thư viện Cà phê,Quán cà phê
Gạch bông cà phê,Quán cà phê
Cà phê Chim cảnh,Quán cà phê
Cà Phê Bằng Lăng,Quán cà phê
Happy Brew Coffee,Quán cà phê
Cà Phê Lộc Vừng,Quán cà phê
Cold-fee cà phê muối,Quán cà phê
CÀ PHÊ BAO CẤP 43 NGUYỄN ĐÌNH THI,Quán cà phê
Cà Phê Diễm,Quán cà phê
≠ Tâm cà phê,Quán cà phê
Cà phê sữa nóng,Quán cà phê
Pho Coffee Shop,Quán cà phê
Quán Hà Nội Cà Phê,Quán cà phê
Highway Coffee,Quán cà phê
La Ka Coffee,Quán cà phê
Cà Phê Mộc,Quán cà phê
Cà Phê Sói,Quán cà phê
Cà Phê Gốm,Quán cà phê
Alpha Cafe,Quán cà phê
Coffee Waitrans 74,Quán cà phê
Cà Phê 26,Quán cà phê
Lang Thang Cà Phê - Nguyễn Thượng Hiền,Quán cà phê
New star coffee,Quán cà phê
Aha cafe,Quán cà phê
Cà Phê Cốt Dừa - 75 Hàng Bông - CS42,Quán cà phê
Cà phê Thiên thai - Cà phê Mộc nguyên chất,Quán cà phê
Cửa Hàng Cà Phê,Quán cà phê
Công Ty Cổ Phần Sản Xuất EVC,Quán cà phê
Highlands Coffee,Quán cà phê
Cà Phê Phương Linh,Quán cà phê
Cà Phê Đạt,Quán cà phê
Cafe Mocha,Quán cà phê
