input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
6c05f884-1177-4b86-9ba0-82d15c9dd992,https://www.google.com/maps/place/T%E1%BB%95+h%E1%BB%A3p+c%C3%A0+ph%C3%AA+cu%E1%BB%91i+x%C3%B3m/data=!4m7!3m6!1s0x3135ad007f96093d:0x6bc0760c4454dcd!8m2!3d20.9989715!4d105.8426024!16s%2Fg%2F11z15t46ml!19sChIJPQmWfwCtNTERzU1FxGAHvAY?authuser=0&hl=vi&rclk=1,Tổ hợp cà phê cuối xóm,Quán cà phê,"19 Ngh. 41/33 P. Vọng, Bạch Mai, Hà Nội, Việt Nam",{},{},,+84 988 102 394,"XRXV+H2 Bạch Mai, Hà Nội, Việt Nam",1,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",20.998971,105.842602,485270972040302029,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nxI1hu6FtXGiIh_lZb5IWw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=203.24341&pitch=0&thumbfov=100,Asia/Saigon,,0x3135ad007f96093d:0x6bc0760c4454dcd,ChIJPQmWfwCtNTERzU1FxGAHvAY,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Tổ hợp cà phê cuối xóm (Chủ sở hữu)"",""link"":""""}","{""borough"":""Bạch Mai"",""street"":""19 Ngh. 41/33 P. Vọng"",""city"":""Hà Nội"",""postal_code"":"""",""state"":""Bạch Mai, Hà Nội"",""country"":""VN""}",null,"[{""Name"":""Thanh tâm Đoàn"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjUonsmLK0mf2cAMWfIazoY1wGsp6AJ3zeFF_Wd5aypGwE4Yj30q=s120-c-rp-mo-br100"",""Rating"":5,""Description"":""Chi phí đồ uống khá rẻ mà chủ quán pha rất ngon, chất lượng. Dù quán hơi nhỏ nhưng trang trí xinh, vintage, còn có rất nhiều em mèo và một em cún."",""Images"":null,""When"":""""}]","[{""Name"":""Thanh tâm Đoàn"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjUonsmLK0mf2cAMWfIazoY1wGsp6AJ3zeFF_Wd5aypGwE4Yj30q=s120-c-rp-mo-br100"",""Rating"":5,""Description"":""Chi phí đồ uống khá rẻ mà chủ quán pha rất ngon, chất lượng. Dù quán hơi nhỏ nhưng trang trí xinh, vintage, còn có rất nhiều em mèo và một em cún."",""Images"":null,""When"":""""}]",
6c05f884-1177-4b86-9ba0-82d15c9dd992,https://www.google.com/maps/place/C%C3%A0+ph%C3%AA+x%C3%B3m+nh%E1%BB%8F/data=!4m7!3m6!1s0x3135ad007e4d790f:0x8d0ab25dcdf12944!8m2!3d21.0049072!4d105.8143359!16s%2Fg%2F11x81fk4zc!19sChIJD3lNfgCtNTERRCnxzV2yCo0?authuser=0&hl=vi&rclk=1,Cà phê xóm nhỏ,Quán cà phê,"87 Ngh. 213/29 P. Giáp Nhất, Thanh Xuân, Hà Nội, Việt Nam","{""Chủ Nhật"":[""06:00–20:00""],""Thứ Ba"":[""06:00–20:00""],""Thứ Bảy"":[""06:00–20:00""],""Thứ Hai"":[""06:00–20:00""],""Thứ Năm"":[""06:00–20:00""],""Thứ Sáu"":[""06:00–20:00""],""Thứ Tư"":[""06:00–20:00""]}","{""Friday"":{""10"":33,""11"":33,""12"":33,""13"":38,""14"":33,""15"":44,""16"":50,""17"":50,""18"":55,""19"":44,""20"":0,""21"":0,""22"":0,""5"":0,""6"":27,""7"":33,""8"":33,""9"":33},""Monday"":{""10"":50,""11"":33,""12"":33,""13"":33,""14"":33,""15"":27,""16"":22,""17"":22,""18"":33,""19"":38,""20"":0,""21"":0,""22"":0,""5"":0,""6"":33,""7"":50,""8"":50,""9"":44},""Saturday"":{""10"":22,""11"":22,""12"":33,""13"":44,""14"":44,""15"":44,""16"":44,""17"":50,""18"":50,""19"":33,""20"":0,""21"":0,""22"":0,""5"":0,""6"":22,""7"":27,""8"":33,""9"":33},""Sunday"":{""10"":44,""11"":55,""12"":83,""13"":66,""14"":50,""15"":22,""16"":22,""17"":33,""18"":33,""19"":33,""20"":0,""21"":0,""22"":0,""5"":0,""6"":66,""7"":50,""8"":44,""9"":38},""Thursday"":{""10"":44,""11"":55,""12"":61,""13"":61,""14"":61,""15"":55,""16"":38,""17"":22,""18"":22,""19"":27,""20"":0,""21"":0,""22"":0,""5"":0,""6"":16,""7"":22,""8"":27,""9"":33},""Tuesday"":{""10"":72,""11"":55,""12"":50,""13"":50,""14"":44,""15"":66,""16"":66,""17"":66,""18"":61,""19"":66,""20"":0,""21"":0,""22"":0,""5"":0,""6"":44,""7"":50,""8"":50,""9"":55},""Wednesday"":{""10"":33,""11"":50,""12"":61,""13"":100,""14"":88,""15"":88,""16"":61,""17"":38,""18"":44,""19"":55,""20"":0,""21"":0,""22"":0,""5"":0,""6"":38,""7"":27,""8"":38,""9"":38}}",,+84 969 901 060,"2R37+XP Thanh Xuân, Hà Nội, Việt Nam",3,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":3}",21.004907,105.814336,10163131625071782212,,,https://search.google.com/local/reviews?placeid=ChIJD3lNfgCtNTERRCnxzV2yCo0&q=C%C3%A0+ph%C3%AA+x%C3%B3m+nh%E1%BB%8F&authuser=0&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHPqLy7EvpQb1aMzjpIA21u9uH3_wLRXMnTO0PQ5L_azumqBfdSRHy01ReNG-F9IBW5B0zFl1tH_SudfDgwO5MGFx4VuhlkH8VQI_eAVllTxG_eaKLTuuQNg1y5x7agcCD9bST7WyEjGWK=w408-h544-k-no,Asia/Saigon,,0x3135ad007e4d790f:0x8d0ab25dcdf12944,ChIJD3lNfgCtNTERRCnxzV2yCo0,"[{""title"":""Tất cả"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHPqLy7EvpQb1aMzjpIA21u9uH3_wLRXMnTO0PQ5L_azumqBfdSRHy01ReNG-F9IBW5B0zFl1tH_SudfDgwO5MGFx4VuhlkH8VQI_eAVllTxG_eaKLTuuQNg1y5x7agcCD9bST7WyEjGWK=w224-h298-k-no""},{""title"":""Chế độ xem Phố và 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E4UaWsm2k_tQsY5vjD_3IQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=108.211044\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Cà phê xóm nhỏ (Chủ sở hữu)"",""link"":""""}","{""borough"":""Thanh Xuân"",""street"":""87 Ngh. 213/29 P. Giáp Nhất"",""city"":""Hà Nội"",""postal_code"":"""",""state"":""Thanh Xuân, Hà Nội"",""country"":""VN""}","[{""id"":""service_options"",""name"":""Các tùy chọn dịch vụ"",""options"":[{""name"":""Ăn tại chỗ"",""enabled"":true}]},{""id"":""highlights"",""name"":""Điểm nổi bật"",""options"":[{""name"":""Cà phê ngon"",""enabled"":true},{""name"":""Nhiều trà ngon"",""enabled"":true}]},{""id"":""offerings"",""name"":""Dịch vụ"",""options"":[{""name"":""Cà phê"",""enabled"":true}]},{""id"":""amenities"",""name"":""Tiện nghi"",""options"":[{""name"":""Nhà vệ sinh"",""enabled"":true}]},{""id"":""atmosphere"",""name"":""Bầu không khí"",""options"":[{""name"":""Thông thường"",""enabled"":true}]},{""id"":""crowd"",""name"":""Khách hàng"",""options"":[{""name"":""Nhóm"",""enabled"":true}]}]","[{""Name"":""hoang bach"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjVtzKKVxN27pwil7GX1hAkhMygR1mlQeJmgIkD_Yr2e8STU36mHyw=s120-c-rp-mo-ba4-br100"",""Rating"":5,""Description"":""Nơi tôi gắn bó năm 24 tuổi, rất nhiều kỉ niệm"",""Images"":null,""When"":""""},{""Name"":""TAN QUYNH LPK JINZAI SERVIS-"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWSeCTaJnZrIz90VFwFRnp8l9tZK-WVCx_4kG6jiSlJGSidKPCh=s120-c-rp-mo-br100"",""Rating"":5,""Description"":""Tuyệt vời!!"",""Images"":null,""When"":""""},{""Name"":""Malcolm Katz"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWuLnTFj5MMkplBfkTjEGvZRKGFjk_u4KQJJs4vXbaKZ-ZqDc4=s120-c-rp-mo-ba2-br100"",""Rating"":5,""Description"":""One of the best cups of black coffee I’ve ever had… I just happened to check Google maps for coffee close to my accommodation and this gem is literally around the corner. I’ll be going here every day.. Simply incredible."",""Images"":[""https://lh3.googleusercontent.com/grass-cs/ANxoTn1gUyfmYrReVgWdNnbMWofPcEdzJsO5o-1Ix7cKIom2UihXHbCferixr3O8AgIvd70QmfaPLYgGuEoet3jRvxYkhCkCU53cMY2qej7WtDBcqayZFx8Tuo4BqEAxnQljVHEP1X73YFiFSDVr=k-no""],""When"":""2026-1-7""}]","[{""Name"":""Malcolm Katz"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWuLnTFj5MMkplBfkTjEGvZRKGFjk_u4KQJJs4vXbaKZ-ZqDc4=s120-c-rp-mo-ba2-br100"",""Rating"":5,""Description"":""One of the best cups of black coffee I’ve ever had… I just happened to check Google maps for coffee close to my accommodation and this gem is literally around the corner. I’ll be going here every day.. Simply incredible."",""Images"":[""https://lh3.googleusercontent.com/grass-cs/ANxoTn1gUyfmYrReVgWdNnbMWofPcEdzJsO5o-1Ix7cKIom2UihXHbCferixr3O8AgIvd70QmfaPLYgGuEoet3jRvxYkhCkCU53cMY2qej7WtDBcqayZFx8Tuo4BqEAxnQljVHEP1X73YFiFSDVr=k-no""],""When"":""2026-1-7""},{""Name"":""hoang bach"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjVtzKKVxN27pwil7GX1hAkhMygR1mlQeJmgIkD_Yr2e8STU36mHyw=s120-c-rp-mo-ba4-br100"",""Rating"":5,""Description"":""Nơi tôi gắn bó năm 24 tuổi, rất nhiều kỉ niệm"",""Images"":null,""When"":""""},{""Name"":""TAN QUYNH LPK JINZAI SERVIS-"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWSeCTaJnZrIz90VFwFRnp8l9tZK-WVCx_4kG6jiSlJGSidKPCh=s120-c-rp-mo-br100"",""Rating"":5,""Description"":""Tuyệt vời!!"",""Images"":null,""When"":""""}]",
6c05f884-1177-4b86-9ba0-82d15c9dd992,https://www.google.com/maps/place/C%C3%A0+Ph%C3%AA+X%C3%B3m+H%E1%BB%93ng/data=!4m7!3m6!1s0x3135acece1b2e5fd:0x69cd528c39c19623!8m2!3d20.9971045!4d105.8165601!16s%2Fg%2F11bccllctz!19sChIJ_eWy4eysNTERI5bBOYxSzWk?authuser=0&hl=vi&rclk=1,Cà Phê Xóm Hồng,Quán cà phê,"131 P. Vũ Tông Phan, Khương Đình, Hà Nội, Việt Nam","{""Chủ Nhật"":[""Mở cửa cả ngày""],""Thứ Ba"":[""Mở cửa cả ngày""],""Thứ Bảy"":[""Mở cửa cả ngày""],""Thứ Hai"":[""Mở cửa cả ngày""],""Thứ Năm"":[""Mở cửa cả ngày""],""Thứ Sáu"":[""Mở cửa cả ngày""],""Thứ Tư"":[""Mở cửa cả ngày""]}","{""Friday"":{""0"":52,""1"":52,""10"":41,""11"":64,""12"":76,""13"":76,""14"":88,""15"":70,""16"":47,""17"":35,""18"":23,""19"":11,""2"":70,""20"":23,""21"":41,""22"":70,""23"":52,""3"":58,""4"":35,""5"":35,""6"":41,""7"":41,""8"":41,""9"":35},""Monday"":{""0"":58,""1"":76,""10"":52,""11"":41,""12"":35,""13"":29,""14"":47,""15"":47,""16"":52,""17"":41,""18"":47,""19"":52,""2"":64,""20"":64,""21"":76,""22"":64,""23"":64,""3"":64,""4"":47,""5"":52,""6"":41,""7"":47,""8"":41,""9"":47},""Saturday"":{""0"":29,""1"":23,""10"":47,""11"":52,""12"":41,""13"":23,""14"":17,""15"":35,""16"":47,""17"":76,""18"":70,""19"":88,""2"":41,""20"":82,""21"":82,""22"":76,""23"":52,""3"":70,""4"":70,""5"":47,""6"":29,""7"":29,""8"":35,""9"":35},""Sunday"":{""0"":29,""1"":17,""10"":41,""11"":58,""12"":47,""13"":29,""14"":17,""15"":29,""16"":52,""17"":58,""18"":52,""19"":58,""2"":23,""20"":41,""21"":58,""22"":64,""23"":64,""3"":52,""4"":82,""5"":100,""6"":88,""7"":58,""8"":35,""9"":29},""Thursday"":{""0"":64,""1"":64,""10"":41,""11"":58,""12"":41,""13"":23,""14"":23,""15"":35,""16"":64,""17"":76,""18"":70,""19"":41,""2"":52,""20"":35,""21"":52,""22"":58,""23"":76,""3"":41,""4"":23,""5"":23,""6"":23,""7"":29,""8"":23,""9"":35},""Tuesday"":{""0"":47,""1"":29,""10"":35,""11"":41,""12"":52,""13"":35,""14"":29,""15"":29,""16"":35,""17"":52,""18"":70,""19"":70,""2"":23,""20"":70,""21"":76,""22"":58,""23"":58,""3"":29,""4"":47,""5"":47,""6"":29,""7"":23,""8"":11,""9"":17},""Wednesday"":{""0"":52,""1"":35,""10"":17,""11"":17,""12"":17,""13"":23,""14"":29,""15"":47,""16"":58,""17"":70,""18"":88,""19"":94,""2"":29,""20"":88,""21"":70,""22"":76,""23"":64,""3"":23,""4"":41,""5"":52,""6"":76,""7"":47,""8"":23,""9"":11}}",,+84 983 607 856,"XRW8+RJ Khương Đình, Hà Nội, Việt Nam",15,4.200000,"{""1"":0,""2"":1,""3"":3,""4"":3,""5"":8}",20.997104,105.816560,7623840506426005027,,,https://search.google.com/local/reviews?placeid=ChIJ_eWy4eysNTERI5bBOYxSzWk&q=C%C3%A0+Ph%C3%AA+X%C3%B3m+H%E1%BB%93ng&authuser=0&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXvFjct8_3WRBeQHHBwAVlaIwdH59GpKdPhhvInK9agS3I4MP8_9maoMfR8GJogQa1h2TV7UtcGX4_BsZzsldLpByReUh4-kLE4Fh3EopHvRSU2lXnb90l8wcGeyTKFytMrdc=w408-h408-k-no,Asia/Saigon,₫₫,0x3135acece1b2e5fd:0x69cd528c39c19623,ChIJ_eWy4eysNTERI5bBOYxSzWk,"[{""title"":""Tất cả"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXvFjct8_3WRBeQHHBwAVlaIwdH59GpKdPhhvInK9agS3I4MP8_9maoMfR8GJogQa1h2TV7UtcGX4_BsZzsldLpByReUh4-kLE4Fh3EopHvRSU2lXnb90l8wcGeyTKFytMrdc=w298-h298-k-no""},{""title"":""Thực phẩm và đồ uống"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmIn0Pth7mlVhyhxs1JadV--ISjz9FC_LOlE6tTLbeFuBere4jQmJB59PgnD84OVmiBWO3rFPNJ1UstSH7Fmr4Ol815HZPADKaVK1hqEM9ypO22Q1k9V6dj633TRjJjr6m6edp=w224-h298-k-no""},{""title"":""Bầu không khí"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXvFjct8_3WRBeQHHBwAVlaIwdH59GpKdPhhvInK9agS3I4MP8_9maoMfR8GJogQa1h2TV7UtcGX4_BsZzsldLpByReUh4-kLE4Fh3EopHvRSU2lXnb90l8wcGeyTKFytMrdc=w298-h298-k-no""},{""title"":""Chế độ xem Phố và 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0I5uaxH_RhIQl0qSgS_k7w\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=117.20425\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Cà Phê Xóm Hồng (Chủ sở hữu)"",""link"":""""}","{""borough"":""Khương Đình"",""street"":""131 P. Vũ Tông Phan"",""city"":""Hà Nội"",""postal_code"":"""",""state"":""Khương Đình, Hà Nội"",""country"":""VN""}","[{""id"":""service_options"",""name"":""Các tùy chọn dịch vụ"",""options"":[{""name"":""Ăn tại chỗ"",""enabled"":true}]},{""id"":""highlights"",""name"":""Điểm nổi bật"",""options"":[{""name"":""Cà phê ngon"",""enabled"":true},{""name"":""Thể thao"",""enabled"":true}]},{""id"":""popular_for"",""name"":""Nổi tiếng về"",""options"":[{""name"":""Phù hợp để làm việc trên máy tính xách tay"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Phù hợp cho người khuyết tật"",""options"":[{""name"":""Chỗ đỗ xe cho xe lăn"",""enabled"":false}]},{""id"":""offerings"",""name"":""Dịch vụ"",""options"":[{""name"":""Bia"",""enabled"":true},{""name"":""Cà phê"",""enabled"":true},{""name"":""Rượu"",""enabled"":true}]},{""id"":""dining_options"",""name"":""Lựa chọn ăn uống"",""options"":[{""name"":""Dịch vụ ăn uống"",""enabled"":true},{""name"":""Phục vụ tại bàn"",""enabled"":true}]},{""id"":""amenities"",""name"":""Tiện nghi"",""options"":[{""name"":""Nhà vệ sinh"",""enabled"":true}]},{""id"":""atmosphere"",""name"":""Bầu không khí"",""options"":[{""name"":""Ấm cúng"",""enabled"":true},{""name"":""Thông thường"",""enabled"":true}]},{""id"":""crowd"",""name"":""Khách hàng"",""options"":[{""name"":""Nhóm"",""enabled"":true}]}]","[{""Name"":""Nhật Ký JAPAN"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjX8AnTCNYzhGcxjjHXq2I3mQLNEQpAG0L8XIAzt5pagThVpRvZu=s120-c-rp-mo-ba3-br100"",""Rating"":4,""Description"":""Rất ok"",""Images"":null,""When"":""""},{""Name"":""Quang Minh Phạm"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocLSSRdx7pzVzQPbaHgNJNkRKEjCqdl9rjiCj5kzRFY2LhuxKw=s120-c-rp-mo-br100"",""Rating"":5,""Description"":""Nice place with spectacular view"",""Images"":null,""When"":""""},{""Name"":""tung pham"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWJcfhzr-YtHfkCIds8UsYsB6jSwKPazULuEIYtEA81wD-gNT5i=s120-c-rp-mo-ba5-br100"",""Rating"":5,""Description"":""Ok"",""Images"":null,""When"":""""},{""Name"":""QUANG LÊ VĂN"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjXukoMPpE82VVX419lDjEXpyvT51_DviK1TOB4LqOm3Y_vxwbgAyw=s120-c-rp-mo-ba3-br100"",""Rating"":2,""Description"":""Bad"",""Images"":null,""When"":""""},{""Name"":""Khanh Hoàng"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocKFkD7aiudBFOTvJ0m5QQ-JvkgjcWoJUK4mzES-ZqQMnfR37cz4=s120-c-rp-mo-ba5-br100"",""Rating"":5,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Thi Binh Nguyen"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocIvlGHaQumZa-op7uOYCfVOZT8bimHDp1kqiwz5MsosEarScQ=s120-c-rp-mo-br100"",""Rating"":5,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""BLess You Got"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWV5DLPr2J0iovdTUZrwxACIoXxeKnLkfvg-sTAO31fdMQiOPjb=s120-c-rp-mo-br100"",""Rating"":5,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Nguyễn H"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjXRHdbDWVtAcZdcmJrbBn3F-EBFdFxlIqKCrKTsOzqOVDx0BFo=s120-c-rp-mo-ba3-br100"",""Rating"":4,""Description"":"""",""Images"":null,""When"":""""}]","[{""Name"":""Quang Minh Phạm"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocLSSRdx7pzVzQPbaHgNJNkRKEjCqdl9rjiCj5kzRFY2LhuxKw=s120-c-rp-mo-br100"",""Rating"":5,""Description"":""Nice place with spectacular view"",""Images"":null,""When"":""""},{""Name"":""tung pham"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWJcfhzr-YtHfkCIds8UsYsB6jSwKPazULuEIYtEA81wD-gNT5i=s120-c-rp-mo-ba5-br100"",""Rating"":5,""Description"":""Ok"",""Images"":null,""When"":""""},{""Name"":""QUANG LÊ VĂN"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjXukoMPpE82VVX419lDjEXpyvT51_DviK1TOB4LqOm3Y_vxwbgAyw=s120-c-rp-mo-ba3-br100"",""Rating"":2,""Description"":""Bad"",""Images"":null,""When"":""""},{""Name"":""Nhật Ký JAPAN"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjX8AnTCNYzhGcxjjHXq2I3mQLNEQpAG0L8XIAzt5pagThVpRvZu=s120-c-rp-mo-ba3-br100"",""Rating"":4,""Description"":""Rất ok"",""Images"":null,""When"":""""},{""Name"":""Khanh Hoàng"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocKFkD7aiudBFOTvJ0m5QQ-JvkgjcWoJUK4mzES-ZqQMnfR37cz4=s120-c-rp-mo-ba5-br100"",""Rating"":5,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Thi Binh Nguyen"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocIvlGHaQumZa-op7uOYCfVOZT8bimHDp1kqiwz5MsosEarScQ=s120-c-rp-mo-br100"",""Rating"":5,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""BLess You Got"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWV5DLPr2J0iovdTUZrwxACIoXxeKnLkfvg-sTAO31fdMQiOPjb=s120-c-rp-mo-br100"",""Rating"":5,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Nguyễn H"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjXRHdbDWVtAcZdcmJrbBn3F-EBFdFxlIqKCrKTsOzqOVDx0BFo=s120-c-rp-mo-ba3-br100"",""Rating"":4,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Luan Nguyen"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjXsLVn9by0qY2NDzb8iccbHZEYVlwVc_LySlJZZLbOIIyZAtM4=s120-c-rp-mo-br100"",""Rating"":3,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Phạm Hoàng Đức (Xôi)"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjUqvmUiERZYVNcRKQjvHPD3wroYMjHuzm23-lqSDS1dBQ9vyVc=s120-c-rp-mo-ba3-br100"",""Rating"":5,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Đình Tài Đặng"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjXrSuImAMSVpIQoXdD5sGEKMa4kNuVzlMZTa01bHuJvvjvE5f9RzA=s120-c-rp-mo-br100"",""Rating"":5,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Dung Đông"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocIJL0i5j27S4cdvs7au-4GbBAFLPB_hsi3b9pkm5UFfoZDxjQ=s120-c-rp-mo-br100"",""Rating"":4,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Nguyễn Nhân Hiệu"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjXvj9Ppmz5YRTSn6tEQkW6Ysbsd-68fyaZ-dA8IzNYqlyC7qJ0o=s120-c-rp-mo-br100"",""Rating"":5,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Toàn Thắng Ngô"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjVka7ElrlcrXQcWMKPKNfaIClZhRFf5iY6t2g5SowNeY7JM11v_qg=s120-c-rp-mo-ba6-br100"",""Rating"":3,""Description"":"""",""Images"":null,""When"":""""},{""Name"":""Long Vũ"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjXuw-aiaqPin0acovGx5qmo1WU58jVf21bonLp_QnFGLbePuEM=s120-c-rp-mo-ba4-br100"",""Rating"":3,""Description"":"""",""Images"":null,""When"":""""}]",
