domain,title,category
hospital,Trung Tâm Y Tế Quận Hà Đông,Trung tâm y tế
hospital,Trung tâm Y tế quận Hai Bà Trưng,Trung tâm y tế
hospital,Trung Tâm Y Tế Quận Hoàn Kiếm,Trung tâm y tế
hospital,Bệnh Viện Đa Khoa Hồ Tràm,Trung tâm y tế
hospital,Trung Tâm Y Tế Quận Long Biên,Trung tâm y tế
hospital,Trung Tâm Y Tế Khu Vực Tân Uyên,Bệnh viện
hospital,Trung Tâm Y Tế Quận Hai Bà ...,Bệnh viện
hospital,Trung Tâm Y Tế Hoàng Mai,Trung tâm y tế
hospital,Phòng Khám Đa Khoa Trung Tâm Y Tế Dự Phòng,Phòng khám
hospital,Trung Tâm Y Tế Quận Đống Đa,Bệnh viện
hospital,Trung tâm Y tế Hàng không,Phòng khám
hospital,Trung tâm Y tế khu vực Bến Cát,Trung tâm y tế
hospital,Trung Tâm Y Tế Huyện Thanh Trì,Trung tâm y tế
hospital,Trung Tâm Y Tế Hà Đông - Phòng Khám Đa Khoa,Bệnh viện
hospital,Trung tâm Y tế Nam Từ Liêm - Phòng khám đa khoa Cầu Diễn,Trung tâm y tế
hospital,Trung tâm Y tế huyện Ân Thi,Trung tâm y tế
hospital,Trung tâm y tế quận Tân Phú,Trung tâm y tế
hospital,Trung tâm Y tế khu vực Bàu Bàng,Trung tâm y tế
hospital,Trung tâm Y tế Quận 6,Trung tâm y tế
hospital,Trung Tâm Y Tế Phường Khương Đình,Trung tâm y tế
hospital,Trạm y tế xã Quốc Oai,Trung tâm y tế
hospital,Trung Tâm Y Tế Dự Phòng Hà Nội,Dịch vụ y tế địa phương
hospital,Trung tâm Y tế khu vực Dĩ An,Trung tâm y tế
hospital,Trạm Y Tế Xã Cẩm Đông,Bệnh viện
hospital,Trung tâm Y tế Khu vực Liên Chiểu,Bệnh viện
hospital,Trạm Y Tế Phường Yên Hòa,Trung tâm y tế
hospital,Trung Tâm Y Tế Hoàng Mai,Bệnh viện
